留言內容,答案
 管它 沒戶籍就課稅 不繳稅就宣告戶籍人死,0
 亡 直接國家接管 幹,1
 羨慕嫉妒恨,0
 稅低到靠北ㄏㄏ,1
 香港化？,1
 繼續空著啊~,0
" 沒課重稅,吸血鬼根本有恃無恐",0
 反正這時間無腦柯粉只在乎無腦挺柯而已,1
 沒空屋稅啊  加重課下去  看他再唱秋,1
 啊,0
 店面跟住家概念也不一樣吧,0
 嚴懲三小 地是人家自己的 難道是用偷搶的?,0
 應該空屋稅+房屋稅以實價計 不然沒用,0
 高房租才能夠高房價,0
 忠孝復興敦化捷運還是很多人阿,0
 仇富仇到沒有是非也是滿可悲的,1
 加稅看他將不降= =“,0
 羨慕,0
 你不課稅只是鼓勵大家把資金往房地產走,0
 搞死東區就是這些人,1
 畜生米蟲,1
 真以為有自由市場喔 ＝＝＋跟仇富有啥關係,1
 因為會打到政治人物吧 才不敢對富人下重稅,0
 最近親戚也是在砸錢裝潢 辭職當包租公,0
 他願意租不出去少賺錢我沒差= =,0
 往極右派靠就是這樣，這些富豪法理上看,0
 起來沒有錯，實際上其他人和社會苦哈哈,0
 還可以減少資本利得流到房地產吸血鬼的量,0
 房東就垃圾,1
 同時商店會移動去繁榮其他地方促進地區平衡,0
 之前報導就報過 立委議員諸公一堆大地主阿,0
 空屋稅加下去，馬上房價崩盤,0
 共產國家的話 黨要逼你加價租都可以,0
 有沒有稅法專家可以說明一下，房租每月,0
 收到千萬的話可以課多少稅啊,0
 而且現在房東一堆都不繳稅的XDD 政府管不到,0
 官商勾結，自治團體不彰，這明明就左左,0
 誰跟你極右,0
" 店面沒有不申報稅的啦,只是稅也不高",0
" 應該根據人潮課閒置稅,這可從附近商家知道",0
 捷運就蓋在這 地理位置也是台北+新北的,0
 社會的吸血蟲,1
 中心 房東根本沒在怕,0
 像這種的就開課徵空置稅，就按月租金三成每,0
 月收取就好,0
 難道房東一點社會責任都沒有,1
 就經濟發展的毒瘤阿,1
 好爽,0
 放任市中心空店面然後說我們經濟好,1
 放10年沒人租 他就會降價了,0
 講幹話,1
 不就市場機制 現在不痛不癢啊,0
 笑死，房東沒生產力，那領基本薪資,1
 這篇正解 放個3-5年根本不痛不癢==,0
 的更沒有,0
 一堆9.2都是大房東,1
 稅法要過議會啊一堆狗在擋怎麼打,1
 八卦板仇富垃圾出來吠了,1
 空屋稅課不到啊，怎麼證明叫空屋,0
 幹根本新帝制啊 幸運的精子爽一輩子,1
 幹 不只一輩子,1
 我隨便辦個行號再停業你說我這裡是空屋?,0
 炒房的良心不知在哪,1
 對IBM開槍的房東現在不知如何了,0
 房價在降了好嗎，白痴,1
" 這種不去課稅,在裝死喔",1
 鳥籠日常,1
 錢都逼到股市了,0
 昨天不是一堆笑高雄租不出去?不看看台北嘴,1
 臉?,0
 他躺著天天於吃鮑魚到死都沒差,1
 本來就是，擔心租不出去根本假議題,0
 投資房地產>>>炒股票,0
 還不如扶植其他地方發展，不過可能同一個地,0
 惡房東也是台灣垃圾之一,1
 主，嘻嘻。,0
 囤房的，每個月課房價3%，他就會怕了,0
 。,0
 月入千萬太扯了 嗚嗚,0
 早就知道的事，政府就不想動金主呀,0
 持有成本太低了,0
 新聞說現在房稅太高耶,0
 就是這些垃圾在搞台灣房價跟物價,1
 幹 一個月租金1000萬…,0
 台北不EY,1
 幹 超短視近利 看著這條路逐漸蕭條也,1
 爽 就沒有讓東區更為興盛的願景嗎,0
 這就是貧富差距 富者恆富,0
 台北要東區要到蕭條台灣大概進加護病房,1
 月入千萬還不是台灣首富?郭董到底有,0
 多少錢？,0
 空屋稅趕快課起來吧！,0
 很多房東都是持有一間以上的房子 但,0
 持有稅太低,0
 沒說騙什麼，干,0
" 柯p智商157, 會處理嗎？",1
 有種就永遠不要租，到時候看降不降,0
 高調,0
 經濟毒瘤 希望有天然都更 只都更他,1
 與其降租不如不租啊，就算高租金只能租,0
 一半出去，也還有500萬。靠房子賺錢就是,0
 比氣長比耐力，反正又沒有資金周轉困難,0
 房屋閒置 在台灣真的是很大問題 看看日,0
 剛上台北的第一間租屋處 房東就有24,0
 ，景氣也是會循環的。,0
 本,0
 間房 當時覺得根本就是錢滾錢,0
 那難到東區店面倒不停是假象？還是是,0
 自己不爭氣？,0
 賺這麼多稅繳這麼少,0
 租一個月就10工不用工作,0
 東西賣的貴不是沒有原因,0
 10年,0
 降價還影響自己房價，投資土地又不是投,0
 資事業，放著也不會燒錢。,0
 月入千萬就台灣首富你會不會太天真？,1
 繳稅阿，躺著賺捏！,0
 郭董富士康市值上兆你這租金收一輩子,0
 也追不上,0
 人生勝利組：（,0
 禍害,1
 很多房東都這樣啊,0
 不用空屋稅，公告地價跟現值一樣就好,0
 好命,0
 其實他們很心痛好嗎XD有錢人也是愛錢,0
 沒有生產力的寄生蟲,1
 這樣炒房價居然沒有罪 鬼島法律,1
 東區一堆店面都林家後代的,0
 就有人不敢課持有空屋稅阿..,0
 一年多課現值5%就好，馬上全部嚇死,0
 空屋稅跟租金的所得稅課一課好嗎,0
 一堆窮酸人在眼紅,1
 政府在幹嘛，立委在幹嘛，真正該課稅不去,0
 做，只想怎麼對境外小額交易課稅，無言,0
 都爆出來了政府還不打 瞎了嗎,1
 上輩子到底要做多少好事 才有這樣的,0
" 囤房的寄生蟲,變相的農奴制度",1
 福氣啊～,0
 這種人應該下地獄,1
 鄉民一堆都是蠢蛋 有錢人有他的玩法,1
 眼紅？如果收房租比做實業好賺，有誰想,0
 找人去那自殺一下弄個凶宅就降價了,1
 就不要去當盤子啊,1
 所以東區才會漠落,0
 搞實業？ 國家要怎麼進步？,0
 昨天在高雄澄清湖就一堆人扯高雄衰敗沒人,0
 現在跟你講台北東區商圈才空 一堆人7PUPU,0
 房屋稅是地方稅,0
 羨慕噓,0
 一個月一千萬，幹爽到爆,0
 改租娃娃機也不怕,0
 關鍵還是房屋持有成本太低,0
 一堆窮酸人眼紅+1,1
 詛咒人真的很好笑,1
 口袋深(X) 持有成本低(O),0
 高雄才沒衰敗咧  有起飛過嗎?,1
 空屋税根據電費水費就好了,0
 這房屋狀況有點像大地主 vs 佃農,0
 應該空屋幾年之後，充公,0
 本多終勝,0
 空屋稅就議員擋的啊,0
 根據水電費查得出來 只是沒人碰而已,0
 不怪民進黨現在市長是能改稅制哦,0
 有錢人屌打一堆臭酸宅,1
 重點是這些人繳的稅也沒多少,0
 擋屯房稅的那些議員 不該吃屎去嗎?,1
 根據水電查 笑了 開幾天的水、冷氣不關就,0
 這種人應該下地獄,1
 怒了,0
 老屋 本來就課不到稅了,0
 好了 控制在五百元你就沒招了,0
 垃圾議員一堆房產誰敢打？,1
 自用住宅跟商業地混為一談？,0
 誰跟白痴柯粉一樣一個月領不到五萬,1
 說個笑話 首都都更 房屋稅,0
 每個月換超跑的概念,0
 柯粉就是沒房子的低端 整天寄望師,1
 父劫富濟貧給他們免費房子住,0
 事實,0
 用別的產業代入，不惡性競爭削價賣自己,0
 的產品，是正確做法,0
 稅法還不修 政客再裝睡啊,1
 卻又不看自己學歷能力廢的跟遊民,1
 就是這樣子一坨屎拖累全台灣人,1
 租不出去就加價租,0
 上次費玉清不是也被報紙說是東區包租公,0
 空屋不加稅，整天只會睡。,1
 建國高架應該拆掉 蓋捷運建國線,0
 而且這個跟房價連結性不大，鬧區的店鋪,0
 租金本來就有一定行情，也不是一般民眾,0
 會去租的，沒什麼好幫著一起同仇敵愾,1
 這國家沒未來了 希望能在50年後趕快滅,0
 民進黨還是去當在野黨，執政沒本事。,1
 國,0
 廢物低薪柯粉眼紅氣pupu,1
 閒置土地稅金啥時會多徵收阿？,0
 有錢就是任性,0
 支那才該滅掉，你們才是地球的毒瘤。,1
 廢物柯屁不敢打房,1
 U錢真好,0
 癈物民進黨整天打手槍,1
 空屋稅是地方財政可以決定阿，要不要做而已,0
 空屋稅啊,0
 政府就無能幾十年了，屯房就課重稅啊,1
 月收千萬真的比企業老闆爽超多,0
 幹 整天就會哄抬價格 支持非自住跟閒置稅,0
 廢物柯粉買不起房眼紅了哈哈,1
 就說要狂課稅啊 照他開的租金去課,0
 可以做累進稅額啊 %數調高點,0
 權貴很多自己本身就是大房東或是共生,0
 幹 整天就會哄抬價格 支持非自住跟閒置稅,0
 低學歷無業柯黑不知道在高興什麼XD,1
 結構 不要想他們會自己改革自己,0
 率調高2~10倍,0
 操他媽是垃圾政府不做而已 誰不知道一,1
 真的有錢就囂張,1
 堆狗官自己就是房東啊 幹你娘咧,1
 原來是香港啊 我還以為是台北,1
 買不起房的高學歷柯粉氣pupu,1
 週休七日爽收千萬租金 有這種富爸媽包租,0
 想必也是考不上醫科的廢物,1
 公婆真的人生勝利組,0
 他不賺他家的事啊,0
 這才是包租公婆的觀念,0
 媽的稅率死不調，有錢人就是爽,1
 真der棒,0
 柯粉蒸蚌 連房子都買不起的低端,1
 高學歷好讚喔 怎麼買不起房咧,1
 等商圈沒落以後一毛都沒得賺,0
 每個月一棟房子或一台法拉利欸,0
 議員就垃圾理由不調高囤房稅,1
 錢集中在某些人身上所以社會才會沒,0
 0857,0
 錢啊,0
 房東的尊嚴,0
 經濟害蟲,1
 之後台北會漸漸沒落，腹地太小，不如西部,0
 的平地好發展,0
 資進黨德政,1
 房屋持有稅真的太低了，資進黨放任亂象,1
 換成日本的税大概就拋售了,0
 國家財政嚴重，抄了吧。,0
 空屋稅罰起來啊,0
 商圈轉移掉這些垃圾房東就會怕了,1
 馬的勒？,0
 屯稅漲起來,0
" 商圈轉移掉只是換另一群房東爽,沒解決問題",0
 空屋持有成本這麼低 太不公平了吧,0
 立委：怕,0
 小的愚鈍第一次聽到空屋稅！佔著房子,0
 哈哈 飲鴆止渴啊 以後東區商圈毀了再說,0
 不住也不用，真的是浪費台灣空間,1
 這真的寧願不租也不能降價破壞行情,0
 只有記者在操煩而已 ㄎㄎ,1
 鄉民真好笑 以為那些房東是誰?還修法咧,1
 不意外 這種房東就是經濟衰敗的元兇之,1
 一,0
 爽囤，反正政府沒輒,0
 這些年收千萬包租公婆早就賺飽了 都有不,0
 該收一下富人稅了吧 救救窮窮老百姓,0
 租寧願閒置的了 他們根本不怕 他們就是,0
 活對時代買對地點 爽完繼續給子女爽,0
 日本泡沫經濟時期 房價地價租金都炒老高,0
 造成建設困難 投資困難 台灣還要走老路嗎,0
 維持地產阿，不就大地主都在做的事,1
 樓上有人講錯了 人家是月收千萬啦,0
 垃圾窮人快去念理組賣肝阿 勞碌命,1
 說好的稅改呢？,0
 鬼島棒棒,1
 正解。,0
 阿就不要租 關大家什麼事？,0
 早期大戶 持有超過30年了吧,0
 空屋稅課下去,0
 那大家現在都不要去東區消費了啊 讓,0
 他閒置個一兩年,0
 有錢囂張什麼  有錢人全部去死,1
 建議台灣有累進空屋税,0
 難怪經濟不會好,0
 空屋屯房稅課下去就好了,0
 ㄎㄎ 撐不下去不是哭政府就是賣房產,1
 媽的空屋稅啊 幹你娘資進黨,1
 政府有課稅嗎???  財政部所得稅呢!!!,0
 不然天堂M那些課長 哪有錢做紫裝,1
 豪華稅如何？,0
 不錯 學蘋果那套就對了 降價求售反,0
 而讓人覺得這裡沒希望,0
 垃圾,1
 讓我們繼續檢討公務員領太多,0
 平均五萬 感謝這些人,1
 奴隸就安分點 上繳租金給房東吧,1
 垃圾房東 市場都要被搞爛 政府還不開,1
 罰,0
 居住正義，操你媽的,1
 這種不抽重稅?,0
 沒錢就別租啊 一堆詛咒窮酸真有趣,1
 怪不得物價一直上漲,0
 廠商有點骨氣好嗎？就不要跟她租啊,0
 羨慕噓,0
 持有稅太低導致一堆噁心房東,1
 國民兩擋然後怪柯 真有臉,1
 垃圾有錢人全家死光,1
 爽，月收屌打多數人一輩子，虧幾個月沒差,0
 ，我再租兩年繼續屌打,0
 羨慕,0
 年輕人自己不爭氣，學學這個房東豪嗎？,0
 月賺千萬，請問我的精液有多珍貴，要,0
 射給何等美女才行呢？,0
 不要去東區養房東，難停車東西又貴,0
 政府是植物人???????????????,1
 何時學對岸?,1
 羨慕,0
 哪裡賣3千的都馬夜市貨,0
 那還有一堆盤子給房東爽賺,1
 就是這些無生產力的拉機拖累經濟,1
 實際上你一降，整個商圈就low了，吸引些,0
 爛店,1
 官商本一家，課了稅又不會進官員口,1
 袋，利益輸送才會好嗎,0
 房東囂張,0
 又帶不進棺材,0
 不降價，再來就是惡性循環了,0
 哈哈哈,0
 有人知道是哪幾家店面嗎,0
 房屋稅太低，政府在睡,1
 台北東區，會不會到最後變成柯P要負責？,0
 到底什麼時候要提高囤房稅呢，各位議,0
 員立委,0
 關鍵字 設立公司 稅,0
 根本不用怕,0
 呵呵 議員還敢降囤房稅,0
 以前就賺夠惹哪有差,0
 民眾都沒地方住了 還一堆擋囤房稅的,0
 立委,0
 果然不是南部就沒人酸了,0
 https://i.imgur.com/7AhrSMf.jpg,0
 降價就是整個價值被拉低 我不缺錢我幹嘛這,0
 麼蠢,1
 能怎麼辦，期待dpp打房嗎,0
 空屋稅假議題阿  一堆方法可以解,0
 設立一個空頭公司在空屋裡面不就好了,0
 房東這個職業到底對國家進步有什麼貢獻 要,0
 如此保障他們的利益？,0
 階級流動...,0
 垃圾政府這些不查一查,1
 他們這樣對社會到底有什麼貢獻?,0
 對國家進步有貢獻 (X),0
 對政客荷包有貢獻 (O),1
 有錢怒噓,0
 就持有成本太低了阿,0
 有錢就是任性~,0
 https://www.ptt.cc/bbs/KOTDFansClub/M.13,0
 69730642.A.D7B.html,0
 希望變成凶宅,1
 這新聞就是房東在喊救命啊,1
 不須要的佔一堆 須要的連廁所都買不,0
 起！,0
 國稅局 這裡,0
 所得稅,0
 課五千萬閒置稅啦,0
 高價租金應提高課稅 不然這些包租公婆都米蟲,1
 空屋稅定再高 計價基底低一樣沒啥用阿 = =,0
 這種大金額的租很久是正常的好嗎？,0
" 要管制 就要讓該地產""實價""計稅 但這條沒人",0
 高價租金應提高課稅 不然這些包租公婆都米蟲,1
 這種新聞就是想帶風向搞新的政策,0
 碰啦 任何有房地產的人除非跟錢過不去 不然,0
 廢物,1
 一堆蠢的附和,1
 跟本不會想用實價課稅...,0
 民進黨真D噁心,1
 小哥?,0
 死米蟲,1
 順便搞中間人之類的,0
 稅金該找這些房東，而不是靠中產階,0
 級,0
 課重稅。政府死了嗎幹,1
 說個笑話 柯痞打房有成 這就跟馬的,0
 空屋稅? 放台夾娃娃機就不算空屋了，要課,0
 經濟成長一樣意思 嘻嘻,0
 稅就是持有成本全抓來上漲,0
 三個月就可以賺到有人一輩子才賺的到錢...,0
 月收千萬，但房價數十億怎麼不講,0
 打房？,0
 持有成本上漲，就是台北市有房族要出來哭,0
 妖了,0
 就讓房東十間全租不出去啊,0
 DPP是房東的好朋友,1
 貪婪無上限的房東遲早遭到報應,1
 調高空屋稅？ 再漲房租就好了！又不是,0
 自耕農,0
 應該將閒置成本大幅調漲，空間閒置,0
 不利經濟整體發展，持有跟閒置成本是,0
 不同的。,0
 要打將軍。結果將軍沒死 死的是上兵,0
 等逛街人潮都不去東區 再黃金的店面租不出,0
 去難道等都更嗎,0
 應該是有錢到三輩子花不完啦,0
 口袋超深 租不出去也不急 你奈他何,0
 垃圾房東,1
 幹你娘 生兒子沒屁眼,1
 就是跟你講盤子很多 總會有大戶來砸錢,1
 超爽，就是不租給低端,0
 看推文發現一堆人仇富仇到是分非不,0
 持有稅低成這樣 炒房的爽r,0
 那就商圈轉移吧,0
 台灣房東多的是吃相難看的，租金無限漲,0
 時間久了就知道了,0
 持有成本低啊,0
 炒房垃圾人,1
 北部不意外,1
 政府沒有規定制止這種垃圾行為,1
 不就中華民國素質養出來的？郊區蓋個捷,1
 運延伸就在那邊靠北靠母，然後才在怪為,0
 什麼大家都想擠市中心房價高。什麼都怪,0
 政府真的很好笑,1
 屁啦才一個月千萬就最大房東 笑死,1
 推巨嬰一直怪政府 明明自己就愛這樣,1
 稅課下去就行了，但政客不敢。,0
 年漲5%侯友宜精神領袖,0
 稅咧,0
 有錢就是任性,1
 店面刻空屋稅 克重一點 物價就會跌了,0
 這種機會不是屬於我的..,0
 爽死,0
 租不出去加價租，房價井噴,0
 幹有夠羨慕,0
 推gemini2010   ：曾經當作店面使用的空屋,0
 應該增加持有成本,0
 賠錢不打緊，少賺要人命啊,0
 立法委員選來不立法，整體耍猴戲，要,1
 看猴子我不會去動物園？,0
 幹！她今年可以買一台f16玩玩啊？,0
 沒有個大動盪實在無法改變現況,0
 空屋税砸下去，閒置越多年稅率越高，最重,0
 自助餐:後天不努力啊 不然母語大對決 就失效,1
 到底在眼紅三小,1
 有小學生數學程度就知道幾年不租也沒,0
 從古到今，有多少朝代，都是地主吸血吸垮,0
 的,0
 不學日本房屋會折舊的話，早晚高房價,0
 高房租會拖垮台灣經濟，然後整個國家,0
 崩潰,0
 不做事光收租的人拿最多，這樣經濟肯,0
 定完蛋,0
 空屋成本真的很低啊，該打！,0
 當初西區也是這樣 沒差沒差 商圈就自然轉,0
 移啦,0
 大家還是認命點吧科科,1
 抽房屋稅救台灣,0
 房東有沒有差是他的事 重點是商圈在轉移,0
 愛往市區擠活該被房租壓死,1
 推,0
 房東：議員跟政府都花錢喬好了,1
 那就空屋稅抽重一點吧,0
 垃圾王八蛋,1
 台灣真的要被議員立委弄倒了...，真希望,0
 來個世界大戰就可以回穩了..,0
 都靠一堆窮人養,1
 空屋稅跟空地稅一徵就會動搖國本跟黨本，,0
 沒有政客敢啦,0
 台灣人民就是奴啊，政府就是看準你們不管,1
 反抗啦,0
 應立法增稅,0
 囤著又不用繳多少錢,0
 炒房政府，不肯調高稅率因為政客自,1
 己也在炒,0
 說房東垃圾的才好笑 人家不偷不騙不搶,1
 一個月賺一千萬是他的本事,0
 有人說東區房東OOO 改逛信義區西區...,0
 買房子也是要成本的 誰說他爽爽賺,0
 奇怪 難道信義區跟西區的房東就比較仁慈?,0
 差別在於人家投資眼光精準 早早就進場,0
 沒錢沒本事的就是看人家躺著收千萬月租,1
 自由經濟資本主義就是這樣,0
 結果政府說軍公教是米蟲,1
 轉型正義比較重要,0
 資本主義就是如此阿 去古巴大家都一樣,1
 快樂指數反而高 一起DIY破車,0
 沒在怕報出來幹嘛？以為大家很在乎嗎？,0
 就是租不出去會怕才要炒新聞嘛！當大家,0
 白癡膩,1
 當錢都流入這種產值只有垃圾的人手裡,1
 天龍國要亡了,0
 說個笑話 居住正義,1
 說個笑話:政府打房,1
 修法用重稅來治少數人，謀求多數人福祉,0
" 無限期閒置每年重稅,典型占著茅坑",0
 不意外,0
" 閒置店面才6%, 之前說東區沒落變鬼城的出",0
 來面對啊，我每次去都一堆人,0
 繼續不立法照市價持有稅，呵呵 藍綠立委都,1
 要靠金主養啊,1
 這些人就在拖垮台灣啊,1
 說本事的…那要培養什麼專業才有月收千,0
 萬？,0
 一千萬……？,0
 幹你娘垃圾政府，一堆房東躺著就能過好,1
 日子，有些人拼了半條命在工作只能糊口,0
 ，幹！,1
 經濟最大阻礙,1
 社會亂源...,1
 連家人頭,0
 貪得無厭的人還是很多耶…,0
 革命第一個殺地主 凌遲一刀刀砍,1
 幹嘛降價給廢物勞工有工作,1
 反正房東100年也餓不死 奴隸勞工一個,1
 月沒工作收到國民年金就哇哇叫,0
 鬥地主 打土豪,1
 逢甲也是..東西越來越難吃汰換率也高,0
 空屋說給他課下去就對了,0
 狗黨炒房八年把台灣搞的烏煙瘴氣,1
 這稅也太便宜,0
 講的柯黑買得起東區店面咧，白癡,1
 人家躺著不做事就月薪千萬 反觀本板..,0
 .,0
 一個月買一間房,0
 東區很多房東都是兩大幫派的...,0
 課房東税應該越重越好,0
,0
     香港 租金房價無限上升的結果,0
         http://is.gd/WlNkOv,0
 每當房價上升，各產業的成本也會上升,0
 過高的租金 會扼殺大部份的實業,0
,0
 高利潤 但高租金， 利潤就是全部跑去,0
 店鋪的業主手上。   他會令基層勞工的,0
 薪水提升嗎？ 不會，  整個店子的員工,0
 薪水加起來 都不及租金的一半,0
,0
 幹你娘操房東,1
 呵呵,1
 乾月收一千萬,0
 阿就修法的自己都有空屋 所以不會,0
 一堆窮人眼紅嫉妒 呵呵，人家就是有本事,1
 啊當初台北房價便宜的要命只要肯努力人人,0
 買得起的時候你老爸阿公在幹嘛怎麼不買？,0
 房東真的hen好賺，躺著睡不用做事每個月月,0
 入千萬，你敢嘴？,0
 羨慕 挑對地方蓋房子比中頭彩還爽,0
 立委不立法也沒用，有錢人根本不怕,0
 炒房政府,1
 文組,1
 回肛,1
 奇怪，現在名嘴跟議員都比醫生還懂醫學,0
 有種來比開房間啊  我們世姦肯定電爆柯,1
 文哲,0
 居然在大刀面前耍關公 唉,0
 北七 建商跟外科醫生辯這個,1
 你他媽要是沒有前幾天的小丑，這些白癡還在,1
 亂抹黑ㄅ,0
 真的沒專業別再人家面前耍刀 真的很爆笑xd,0
 開房堅本來就沒什麼料  只會大聲而已,1
 換新版本4好事ㄅ,0
 四樓，開房間洪醫師不會輸，真心不騙,1
 不讀書  不尊重專業  沒有良心,1
 綠共黨員當官越來越不查證 名嘴真好,1
 當,0
 叫蔡璧如都能電爆恰吉,1
 現在要檢討台大使用葉克膜本身了唷 DPP的下,1
 限就是沒有下限,1
 http://0rz.tw/fglxA,0
 一個只會幹樁腳女兒的人談醫療 ㄏ,1
 在醫師面前談醫療，該看病了,1
 阿宅表情超好笑,0
 12:48秒 洪浩雲,0
 笑死,1
 蔡壁如的確是有辦法電爆啦 好歹也是,0
 在旁邊那麼久,0
 有種我們聊摩鐵啊，開房堅電爆泥,1
 王世堅算好的了，知道錯就閉嘴,0
 洪醫生一直都在憋笑 世堅蠢到連這都打,1
 遇到周玉蔻那種就開始插嘴道你講不下去,1
 不 王世堅被打臉改天到別台還是繼續扯,0
 上班公車秀就是例子,0
 洪跟王兩個應該很麻吉啊！,0
 文組被醫生嘴嗎,1
 所以現在又開始拿一張表在亂扯了阿,0
 他什麼黨? 民進黨 在跟我說民進黨沒介入,1
 操 根本亂打 不知道的事情 拿出來亂講,1
 我幹你娘民進黨,1
 王就是個小丑,1
 還什麼金主 挖哩 做表格完要做對價了嗎?,1
 笑了,0
" 這個議題根本不是""空心菜""多少錢的議題",0
 你看看他的質詢，簡直是個笑話，丟盡台灣,1
 不就知識不對等……,0
 人的臉面,0
 拿以前的葉克膜 比現在的葉克膜....,0
 原來葉克膜真的那麼容易上手？台灣要變葉克,0
" 再切啊,民進黨~幹你娘",1
 膜王國了嗎,0
 只會幹樁腳女兒的垃圾 ^口^,1
 人數都差不多,0
 人家洪醫師看小丑表演在笑 有人看的好氣,1
 喔,0
 洪浩雲很討厭柯.不過踩到醫生這塊,0
 私得有問題的跟人家談醫德?????????,1
 王世堅不在床上時都在練蕭威,1
 幫柯電電一堆垃圾也不意外,1
 世姦整個打臉鄭朝方耶,1
 呵呵 每個都大外行在嗆大行家,1
 私德有問題的跟人家談醫德?????????,1
 說好的不是DPP背後指使,0
 知識不對等可以不要拿這個抹黑，胡扯半,1
 天被打臉用知識不對等當作藉口不是給人,1
 當笑話看？,1
 Dppㄧ直打這個有意義嗎,0
 DPP這隻真的蠢到有剩XD,1
 連本業都輸洪，怎麼打葉克膜.........,0
 王世堅從頭到尾就是笑話 不然洪醫生的表,1
 情是什麼？,0
 資進黨又要切割了？,1
 廢物王世堅,1
 Dpp:個人行為啦,1
 笑爛,1
 垃圾dpp，再嘴啊,1
 白痴不尊重專業,1
 臉好腫,1
 電爆有什麼好開心的，無恥自由時報,1
 還是可以亂下標,0
 https://tinyurl.com/yb2dz825,0
 有夠廢,1
 ゴミだな,0
 所以洪耀福要不要解釋一下這跟dpp有沒有,0
 關 整個黨都在那邊唬爛,1
 支持柯p就是要拒投大小綠政客,0
 真白癡  經驗傳承當然越來越好  政客就是政客,1
 有夠丟臉,1
 老王就法克膜的專家 質疑葉克膜合理,0
 恰吉沒什麼好怕丟臉，他只要講出關,1
 鍵句讓新聞下標,0
 整個論點的邏輯錯誤根本沒人在意,0
 目標受群不同呀,0
 比數字就會有這種盲點 王世堅被電也是活該,1
 民進黨都這樣人物？,1
 非專業裝專業，攏嘎嘴角專ㄆ,1
 深綠族群就這種程度啊,1
 https://i.imgur.com/fCRSpBu.jpg,0
 這個邏輯就等於：2008之後智慧型手機快速,0
 普遍，一定是因為政黨二次輪替的關係,0
 為啥要在醫生旁講葉克膜 不覺得很蠢嗎,1
 癈到笑,1
 廢物,1
 王就不是醫療專業，洪糾正他，他也,0
 沒硬拗,0
 智障蚵粉高潮了嗎？,1
 推,0
 豬油的標題好垃圾,1
 波波都屌打王世堅,1
 一直在打柯之前醫生的專業是在腦殘什麼？,1
 爽,0
 開房間的專長還是去開房間吧,1
 無知又沒良心,1
 洪又出來刷存在感了,0
 不如...,0
 紅燒了你敢吃?,0
 一邊說1萬%跟民進黨無關 一邊拼命抹 呵呵,1
 https://imgur.com/BgizTzR.jpg,0
 這是個人行為 與本黨無關XDDD,0
 DPP要不要切割王世堅阿 顆顆,1
 以前騎馬到高雄要3天 現在坐高鐵只要2小,0
 時 一定是偷懶,0
 民進黨大敗 這些人都是該被檢討的對象,0
 牙醫，民代，名嘴都很會用,0
 這垃圾還能當不分區。綠裡面只剩垃圾了,1
 廢物小丑去開房間好嗎？,1
 不要一直貼王世堅的臉啦ww,1
 跟民進黨無關？立馬破功,0
 也只敢在DPP票倉選 不敢進市區 穩輸,0
 哇還有人能幫這咖護航 奇觀,1
 恰吉我記得不是文組的 中興應數好像 XD,1
 神奇的是幫他護航就算了 居然是用他,1
 非專業 資訊不對等來說嘴,1
 外行領導內行 亂嘴一通才是最為可悲,1
 最該譴責的行為,0
 有種比開房間啊！看誰電爆誰！,1
 垃圾黨,1
 恰吉抿嘴，經典表情,1
 哪區選出來的自己載回去丟好嗎？丟臉,1
 https://i.imgur.com/VN1joMs.gif 太狂了,0
 廢物還有一堆人投 真他媽的,1
 洪洗白啦,0
 不是專業或知識不對等不是應該在質疑前就先查,0
 證嗎？需要台大醫院的時候就緊巴著不放～要政,0
 治鬥爭的時候台大醫院就又變成一堆弊端？,0
 民進黨再說只是個人行為啊,0
 不用葉克膜人死了要誰去賠啊,0
 讓病人去死就對了,1
 唯一支持王世堅代表民進黨,0
 開房間不要臉髒東西,1
 真是夠了，整個黨都讓人作嘔，做人的下,1
 限在哪？,1
 你們柯文哲跟洪浩雲不懂葉克膜吧！有很複,0
 雜嗎？,0
 算房間錢比較會的咖,1
 世堅看來是想進逼姚文留下的立委位置,0
 繼續努力中..,0
 傻眼  醫生才最專業的好嘛,0
 這種不叫抹黑 什麼叫抹黑???,0
 笑死，不唸書臉皮厚當立委，敢跟醫師,1
 唬爛葉克膜,1
 王世堅怎麼上的?,0
 有夠沒水準 跟綠粉一樣,1
 小時不唸書 長大當DPP民代,1
 XDD,0
 看他質詢就知道他是什麼貨色了,1
 最廢的是他們一直想要把捐器官的事,1
 情誘導回台灣，結果回到主場還是什,0
 麼證據都調不到，還缺少了跨國和極,0
 權的朦朧感，這種行為無疑是自爆啊x,0
 D,0
 反而他一直罵的人還抱怨過台灣太濫,1
 用葉克膜做無效醫療，但是同時也說,0
 不用那些人都是會死的，所以王覺得,0
 人死掉比較好就是了,0
 現在很奇怪 一堆學店的談第一志願科系的,1
 東西,0
 王在議員的表現到底是如何啊,0
 為啥一個不尊重專業的可以嚷嚷講話這,0
 看他質詢普普 在外表現也普普 真心不,0
 麼囂張？ 台灣真的不缺這種人,1
 懂為什麼他能繼續連任,0
 哈哈哈文組被嗆了吧,1
 醫學門外漢挑戰醫學專業阿不就很厲害,1
 辛苦了世堅，這要也能凹,1
 議員水準太低,1
 垃圾,1
 開房堅就是個北七,1
 他以為是ok繃是不是,1
 跟民進黨百分之一萬無關，我是不信啦,0
 民進黨:王世間跟民進黨沒關係,0
